,pdfFile,txtFile,eventDate,eventPlace,locList,geoEvents
270,53.Slanic%20-proces%20verbal%20nr.8212%20%20din%2013.08.2018.pdf,53.Slanic%20-proces%20verbal%20nr.8212%20%20din%2013.08.2018.txt,Nr.2//2 din 13.08.2018,orasul Slanic,"['ROMANIA', 'orasul Slanic\n\nin urma', 'in orasui Slanic', 'judetul Prahova', 'orasului Slanic', 'strada Salinei', 'strada Stefan cel Mare', 'paraului Slanic', 'Prahova', 'Prahova', 'Prahova']",[]
271,5304%20din%2015.05.2017.pdf,5304%20din%2015.05.2017.txt,15.05.2017,Valea Doftanei,"['ROMANIA', 'Valea Doftanei\n\nfn urma', 'Prahova', 'Valea Doftanei', 'judetul Prahova', 'Tegila', 'str. Lacului', 'raului Doftana', 'raul Doftana', 'raului Doftana', 'raul Doftana si viiturilor', 'raului Doftana si gospodaria familiei', 'DJ 1021 in zona km 30+500', 'Bran', 'raului Doftana', 'DJ 1021 — zona km 34+100,', 'frontul rupturii', 'raului', 'raul Doftana', 'erodari ale', 'Tesila', 'Tesila', 'DJ 102 I Campina', 'Valea Doftanei', 'Traisteni', 'Izlaz Negras', 'zona Priscu-Predelut', 'DJ 102 i', 'Brasov', 'Prahova', 'erodari de', 'str. Lacului', 'Valea Doftanei', 'D.J. 102 I si', 'strazi si in zona proprietatii\nfamiliei Cazacu', 'Valea Doftanei si', 'Prahova']",[]
272,5309%20din%2013.04.2018.pdf,5309%20din%2013.04.2018.txt,13.04.2018,Maneciu,"['ROMANIA', 'Maneciu', '.G.A. Prahova', 'Maneciu', 'judetul Prahova', 'Cartier', 'zona coasta Morii', 'Gheaba', 'str. Campsor in', 'Valea Neagra', 'Prahova', 'erodari de']",[]
273,5357%20din%2020.10.2016.pdf,5357%20din%2020.10.2016.txt,20.10.2016,Prahova,"['ROMANIA', 'Prahova', 'judetul Prahova', 'punctul Mandilari', 'punctul Borsari', 'Chicioreni', 'Valea Plopului', 'Nucsoara de Sus', 'Prahova', 'erodari de']",[]
274,5361.pdf,5361.txt,20.10.2015,TELEGA,"['ROMANIA', 'TELEGA', 'Telega\n\nA', 'primiriei', 'Bustenari', 'Telega', 'Prahova', 'Prahova', 'erodari de', 'Prahova', 'Telega', 'Telega']",[]
275,537-18.03.2015.pdf,537-18.03.2015.txt,20.01.2015,Prahova,"['ROMANIA', 'Prahova', 'Teritoriald', 'Trenu', 'DJ 234 punct ,', 'Nucet', 'judetul Prahova', 'Prahova', 'Trenu', 'Prahova', 'Apélor', 'Prahova', 'Prahova', 'pRIMARIA']",[]
276,54.Lipanesti%20-proces%20verbal%20nr.5642%20%20din%2030.07.2018.pdf,54.Lipanesti%20-proces%20verbal%20nr.5642%20%20din%2030.07.2018.txt,30.07.2018,Prahova,"['ROMANIA', 'Prahova', 'Lipanesti', 'judetul Prahova', 'Canalul Scarnava', 'Prahova', 'str.Liliacului', 'malul stang terenuri agricole', 'Prahova', 'tehnicé', 'erodari de', 'Prahova']",[]
277,5412%20din%2027.03.2018.pdf,5412%20din%2027.03.2018.txt,27.03.2018,Brebu,"['ROMANIA', 'Brebu', 'Brebu\n\nA. DESCRIEREA SITUATIEI', 'DJ 102 I de satul', 'Podu - Cheii']",[]
278,5414.pdf,5414.txt,09.11.2015,02.11.2015 si in baza Ordinului Prefectului,"['ROMANIA', '02.11.2015 si in baza Ordinului Prefectului\nJudetului Prahova nr. 8/2015', 'Prahova', 'Ungureni', 'apele paraului', 'Prahova', 'erodari de', 'Posestii', 'Ungureni', 'Prahova']",[]
279,55.Cornu%20-proces%20verbal%20nr.6116%20din%2031.07.2018.pdf,55.Cornu%20-proces%20verbal%20nr.6116%20din%2031.07.2018.txt,31.07.2018,Cornu,"['ROMANIA', 'Cornu\n\nin urma', 'Prahova', 'Cornu', 'judetul Prahova', 'DJ LOL R.\n\n» Datele de identificare din acest Proces Verbal (proprietari', 'Cornu', 'Prahova', '.G.A. Prahova', 'erodari de', 'Cornu', 'Prahova', 'meee']",[]
280,5526.pdf,5526.txt,24.06.2015,24.06.2015,"['ROMANIA', '24.06.2015\n\n', 'Prahova', 'Drajna', 'Ogretin', 'Ogretineanca', 'DJ 102B km 7', 'Ogretineanca', 'Ogretin', 'Ogretineanca', 'Mentioniam', 'Drajna si afluenti', 'Drajna', 'Prahova', 'Prahova', 'erodari de', 'Drajna', 'Prahova']",[]
281,5597%20din%2019.03.2018.pdf,5597%20din%2019.03.2018.txt,19.03.2018,Scorteni,"['ROMANIA', 'Scorteni', 'strada Plaiului', 'frontul de alunecare', 'nr. 31 A', 'paraului Valea Seaca', 'Judetul Prahova', 'Judetul Prahova', 'Prahova', 'erodari de', 'consolidari']",[]
282,56.Telega%20%20-proces%20verbal%20nr.4158%20din%2031.07.2018.pdf,56.Telega%20%20-proces%20verbal%20nr.4158%20din%2031.07.2018.txt,31.07.2018,TELEGA,"['ROMANIA', 'TELEGA', 'Telega', 'Prahova', 'Telega', 'judetul Prahova', 'Telega', 'Prahova', 'erodari de', 'Prahova']",[]
283,5608.pdf,5608.txt,06.10.2015,Varbilau,"['ROMANIA', 'Varbilau\n\n', 'Prahova', 'Cotofenesti', 'Prahova', 'erodari de', 'DJ102', 'Prahova']",[]
284,57.Dumbravesti%20%20-proces%20verbal%20nr.4459%20%20din%2031.07.2018.pdf,57.Dumbravesti%20%20-proces%20verbal%20nr.4459%20%20din%2031.07.2018.txt,31.07.2018,Dumbravesti,"['ROMANIA', 'Dumbravesti\n\nin urma', 'Prahova', 'Dumbravesti', 'Prahova', 'Teleajen', 'raului Varbilau in zona proprietatilor Vintila', 'DJ 102 si DC 16A si coborarea', 'talvegului cu circa', 'platoului Gavanel', 'Prahova', 'erodari de', 'Dumbravesti\n', 'Prahova']",[]
285,5765-23.04.20158.pdf,5765-23.04.20158.txt,23.04.2015,orasului Breaza,"['ROMANIA', 'orasului Breaza\n\nUrmare a adreselor', '5244/CT/02.04.2015 si in baza Ordinului', 'Prahova', 'strada Plt.', 'strada Plt.', 'strada Plt.', 'strada Stefan cel Mare', 'strada Stefan cel Mare', 'sténg', 'strada Poienitei', 'orasului Breaza', 'strada Plaiului', 'strada Libertatii', 'strada Frunzelor', 'strada Orizontului', 'strada Colinei', 'existentd', 'strada Colinei', 'strada Colinei - in zona intersectiei cu strada Dunarii', 'strada Scolii — cartier Podu Corbului', 'strada Caprioarelor', 'cartier Frasinet', 'strada 30 Decembrie', 'DJ 101 R', 'Gura Beliei', 'Breaza', 'Comarnic', 'strada Ocinei', 'DJ 710', 'Judetul Prahova', 'Judetul Prahova', 'Prahova', 'erodari de\n']",[]
286,58.Bertea%20-proces%20verbal%20nr.3828%20%20din%2024.07.2018.pdf,58.Bertea%20-proces%20verbal%20nr.3828%20%20din%2024.07.2018.txt,incepand cu 24.07.2018,DJ],"['ROMANIA', 'DJ]', 'Prahova', 'erodari de', 'Slt']",[]
287,59.Valea%20Calugareasca%20-proces%20verbal%20nr.15061%20%20din%2011.07.2018.pdf,59.Valea%20Calugareasca%20-proces%20verbal%20nr.15061%20%20din%2011.07.2018.txt,11.07.2018,VALEA CALUGAREASCA,"['ROMANIA', 'VALEA CALUGAREASCA', 'Valea Calugareasca\n\nUrmare', 'punctul Releu', 'Valea Largai', 'Valea Larga', 'Judetul Prahova', 'Judetul Prahova', 'Prahova', 'erodari de']",[]
288,593%20din%2004.04.2018.pdf,593%20din%2004.04.2018.txt,20.01.2015,Comuna Aricestii,"['ROMANIA', 'Comuna Aricestii', 'Aricestii Zeletin', 'Prahova', 'DC 161', 'DC 52', 'DC 52', 'DJ 233 , pet', 'si podetul tubular', 'DN 600\nmm', 'DJ 233.\n\n', 'Prahova', 'erodari de\n', 'DJ 233', 'DC 161 si DC 52', 'Can']",[]
289,5966%20din%2029.08.2017.pdf,5966%20din%2029.08.2017.txt,29.08.2017,Soimari,"['ROMANIA', 'Soimari', 'Prahova', 'Soimari', 'Soimari', 'Lopatna', 'Lopatna', 'Buzau si umplutura de piatra', 'Soimari', 'Centru', 'DJ 100 M', 'Lopatnita', 'Lopatna', 'punctul Ghioldus', 'Lopatna', 'fagase', 'Lopatna', 'Soimari', 'Soimari', 'DJ 100 M', 'Soimari', 'Judetul Prahova', 'Judetul Prahova', 'Prahova', 'erodari de', 'Lopatna', 'Prahova']",['Targului comunal']
290,5985%20din%2027.05.2016.pdf,5985%20din%2027.05.2016.txt,27.05.2016,Poiana Campina,"['Poiana Campina', 'Poiana Campina', 'Poiana Campina', 'Poiana Campina', 'Poiana Campina', 'c&tunul Magura', 'Mentionam', 'Poiana Campina', '372/1', 'Dragineasa', 'Prahova', 'erodari de', 'Poiana Campina', 'Poiana Campina', 'Prahova']",[]
291,6.Magureni%20%20-proces%20verbal%20nr.%205856%20din%2030.06.2018.pdf,6.Magureni%20%20-proces%20verbal%20nr.%205856%20din%2030.06.2018.txt,29.06 2015,Magureni,"['ROMANIA', 'Magureni\n\n', 'Prahova', 'Magureni', 'judetul Prahova', 'Magureni', 'Magureni', 'Ruda', 'DC 115 B', 'DJ 145.\n\n', 'Prahova', 'Prahova', 'erodari de', 'Magureni', 'Prahova']",[]
292,60.Cornu%20-proces%20verbal%20nr.5510%20%20din%2011.07.2018.pdf,60.Cornu%20-proces%20verbal%20nr.5510%20%20din%2011.07.2018.txt,11 iulie 2018,Cornu,"['ROMANIA', 'Cornu\n\nUrmare adreselor', 'Prahova', 'constatare/evaluare', 'Cornu', 'Cornu de Jos', 'Prahova', 'erodari de', 'cay', 'Cornu']",[]
293,6079.pdf,6079.txt,03.07.2015,Primarici Orasului Comarnic,"['ROMANIA', 'Primarici Orasului Comarnic\n\nUrmare adresei', 'strada $colii nr. 98', 'Comarnic', 'str. $colii nr.98', 'Valea Comarnicului', 'Valea Comarnicului', 'distanté', 'siguranté', 'situatiti', 'siguranté', 'Prahova', 'Prahova', 'erodari de', 'Judetul Prahova']",[]
294,61.Soimari%20-proces%20verbal%20nr.3986%20%20din%2011.07.2018.pdf,61.Soimari%20-proces%20verbal%20nr.3986%20%20din%2011.07.2018.txt,11.07.2018,Soimari,"['Soimari', 'Soimari', 'Soimari', 'Magura', 'DJ 100 M', 'Ploiesti', 'Soimari', 'Soimari', 'Magura', 'DJ 100 M', 'Ploiesti', 'Soimari', 'colmatand', 'DJ 100M si a decolmatat rigola', 'Soimari', 'Magura', 'Sarata', 'curti si gradini', 'Mentionam', 'Inundarea', 'Judetul Prahova', 'Sud Muntenia', 'Judetul Prahova', 'Prahova', 'erodari de', 'siguranté', 'Prahova']","['12415/H/E/2/V1/18.05.2018 si in\n', '<rectelor calamitatilor naturale']"
295,62.Aricestii%20Zeletin%20-proces%20verbal%20nr.1179%20din%2011.07.2018.pdf,62.Aricestii%20Zeletin%20-proces%20verbal%20nr.1179%20din%2011.07.2018.txt,11.07.2018,Prahova,"['ROMANIA', 'Prahova', 'DC 161', 'DC 52', 'frontul alunecarii a antrenat', 'calea de rulare (asfalt', 'DJ 233', 'Judetul Prahova', 'Judetul Prahova', 'Prahova', 'Prahova', 'erodari de', 'DJ 233', 'DC 161 si DC 52', 'Prahova', 'Prahova']",[]
296,6266%20din%2027.05.2016.pdf,6266%20din%2027.05.2016.txt,20.01.2015,Valea Doftanei,"['ROMANIA', 'Valea Doftanei', 'Valea Doftanei', 'Tesila', 'DJ 101 S Valea Doftanei-Secaria', 'Tesila', 'DJ 102', 'Campina', 'Valea Doftanei', 'DJ 102 1 Campina', 'Valea Doftanei', 'Prahova', 'Prahova', 'erodari de', 'Valea Dofianei', 'DJ 102 I, in zona Rusu', 'DJ 101 S si DJ 102 1', 'Prahova']",[]
297,6276%20din%2018.10.2016.pdf,6276%20din%2018.10.2016.txt,18.10.2016,Plopu,"['ROMANIA', 'Plopu\n\nfn urma', 'Plopu', 'judetul Prahova', 'prim&riei', 'Plopu', 'Plopu', 'Plopu', 'Prahova', 'erodari de\n']",[]
298,63.Cosminele-proces%20verbal%20nr.1805%20din%2011.07.2018.pdf,63.Cosminele-proces%20verbal%20nr.1805%20din%2011.07.2018.txt,11 iulie 2018,constatare/evaluare,"['ROMANIA', 'constatare/evaluare', 'Poiana Trestiei', 'Prahova', 'erodari de', 'Sormele']",[]
299,6318%20din%2008.11.2016.pdf,6318%20din%2008.11.2016.txt,08.11.2016,constatare/evaluare,"['ROMANIA', 'constatare/evaluare', 'Prahova', 'Varbilau', 'DJ 102', 'Cotofenesti', 'DJ 102', 'Poiana Varbilau', 'Poiana Morii', 'Valea Bisericii', 'Livadea', 'DJ 101 T', 'Judetul Prahova', 'Judetul Prahova', 'erodari de', 'Poiana Morii', 'versantul din spatele\n', 'DJ 101 T in vederea\npreluarii si evacuarii apelor pluviale', 'Prahova']",[]
300,6340.pdf,6340.txt,27.05.2015,Brebu,"['ROMANIA', 'Brebu', 'Pietriceaua', 'str.\n', 'Prahova', 'Brebu', 'Pietriceaua', 'str. Principala nr. 2', 'judetul Prahova', 'Brebu', 'Pietriceaua', 'str. Principala nr. 2', 'frontul alunecarii pana', 'erodari de', 'Brebu', 'Brebu', 'Brebu', 'geotehnicd si hidrogeologicd', 'Brebu', 'Brebu', 'Brebu', 'Prahova']",[]
301,64.Lapos-proces%20verbal%20nr.1517%20din%2011.07.2018.pdf,64.Lapos-proces%20verbal%20nr.1517%20din%2011.07.2018.txt,11.07.2018,Lapos,"['ROMANIA', 'Lapos\n\nUrmare', 'Slt', 'Izvorul Adanc', 'Iungime', 'Prahova', 'Prahova', 'erodari de\n']",[]
302,6430-08.04.2015.pdf,6430-08.04.2015.txt,08.04.2015,Prahova,"['ROMANIA', 'Prahova', 'DJ 232', 'versantul stang', 'Judetul Prahova', 'Prahova', 'erodari de', 'strada Dealului $i zona Cioburi']",[]
303,6437%20din%2019.05.2016.pdf,6437%20din%2019.05.2016.txt,19.05.2016,Cornu,"['ROMANIA', 'Cornu\n\nfn urma', 'Prahova', 'Cornu', 'judetul Prahova', 'Cornu', 'strada Pomilor nr. 544', 'Prahova']",[]
304,6438%20din%2019.05.2016.pdf,6438%20din%2019.05.2016.txt,19.05.2016,Cornu,"['ROMANIA', 'Cornu\n\nfn urma', 'Prahova', 'Cornu', 'Prahova', 'Cornu', 'DJ205G', 'punctul Swisscaps-Aenova', 'Cornu', 'strada Sindii', 'Cornu de Jos', 'punctul Francu', 'Cornu de Jos', 'strada Ing. Ion Nistorica', 'Cornu de Sus', 'strada Mihai Viteazul', 'Cornu de Jos', 'strada Primaverii', 'Aleea Cucului', 'balastata', 'Cornu de Jos', 'Aleea Plopilor', 'Cornu de Jos', 'Aleea Dumbrava Minunata', 'balastata', 'strada Primaverii', 'Cornu de Sus', 'intersectiei Aleea Valea Rea cu strada Pomilor', 'Aleea Valea Rea', 'Cornu de Jos', 'strada Topsenilor', 'constatA', 'versantul opus Manastirii', 'Valea Campinitei', 'Cornu de Jos', 'Aleea Cucului', 'Cornu de Sus', 'Valea lui Saracila', 'Cornu', 'versantul opus terenului de sport.\n\n', 'Cornu de Jos', 'Aleea Zorilor', 'Cornu de Jos', 'strada Topsenilor', 'DJ205G', 'punctul Swisscaps-Aenova si', 'Cornu', 'Prahova', 'erodari de', 'strazilor', 'DJ205G', 'Judetul Prahova', '.G.A. Prahova', 'Prahova', 'Cornu\nViceprimar\n\n']",[]
305,6438%20din%2027.09.2016.pdf,6438%20din%2027.09.2016.txt,06.09.2016,Tordacheanu,"['ROMANIA', 'Tordacheanu', 'Prahova', 'Tordacheanu', 'judetul Prahova', 'DJ 102E cat si cantitati de resturi\nvegetale', 'Tordacheanu', 'Prahova', 'DJ 102E cat si', 'Varbilita', 'Tordacheanu', 'Judetul Prahova', 'Prahova']",[]
306,646%20din%2009.03.2017.pdf,646%20din%2009.03.2017.txt,09.03.2017,Gornet Cricov,"['ROMANIA', 'Gornet Cricov', '.G.A. Prahova', 'Gornet Cricov', 'Tarculesti', 'Prahova', 'erodari de\n']",[]
307,647%20din%2013.04.2018.pdf,647%20din%2013.04.2018.txt,13.04.2018,astzi,"['ROMANIA', 'astzi', 'Jugureni\n\nUnmare', 'Slt', 'Jugureni\n\nDescrierea situatiei', 'Jugureni', 'Jugureni', 'punctul Popescu Iuliana', 'Judetul Prahova', 'Jugureni', 'Jugureni si proprietarii afectati =', 'DJ 104N', 'Jugureni si', 'Jugureni', 'Slt']",[]
308,6497%20din%2006.12.2016.pdf,6497%20din%2006.12.2016.txt,06.12.2016,Sangeru,"['ROMANIA', 'Sangeru', 'Prahova', 'Sangeru', 'judetul Prahova', 'Tisa', 'pietonal si', 'Prahova', 'erodari de', 'Sangeru', 'Sangeru', 'Sangeru', 'Sangeru', 'Zea Georgian Daniel\n\nviceprima\n\n']",[]
309,6563%20din%2014.11.2016.pdf,6563%20din%2014.11.2016.txt,14.11.2016,Rafov,"['ROMANIA', 'Rafov', 'Prahova', 'Rafov', 'DC 83', 'Buda si Moara Domneasca', '.J.C. Prahova', 'erodari de', 'Rafov', 'Rafov', 'DC 83 si DC 82', 'Rafov', 'Prahova']",[]
310,659%20din%2028.03.2017.pdf,659%20din%2028.03.2017.txt,15.03.2017,Chiojdeanca,"['ROMANIA', 'Chiojdeanca\n\nfn', 'Prahova', 'Chiojdeanca', 'judetul Prahova', 'Tarna', 'DC 51', 'DC 51', 'frontul alunecarii', 'DC 51 Chiojdeanca-Trenu', 'Trenu', 'DC 51', 'Trenu', 'DC 51', 'Prahova', 'Prahova', 'erodari de', 'DC 51', 'DC 51', 'Prahova']",[]
311,66.Busteni-proces%20verbal%20nr.6155%20din%2015.06.2018.pdf,66.Busteni-proces%20verbal%20nr.6155%20din%2015.06.2018.txt,15.06.2018,orasului Busteni,"['ROMANIA', 'orasului Busteni\n\nUrmare', 'orasul Busteni', 'cartier Poiana Tapului', 'strada Crinului, nr.2', 'sarpantelor', 'Judetul Prahova', 'Judetul Prahova', 'Prahova', 'erodari de', 'Busteni Visan Cornel\n\n']",[]
312,6661%20din%2017.02.2015.pdf,6661%20din%2017.02.2015.txt,17.02.2015,Barcanesti,"['ROMANIA', 'Barcanesti\n\nUmmare', 'Barcanesti', 'Prahova', 'Barcanesti', 'scrisd', 'Judetul Prahova', 'Prahova', 'Prahova', 'erodari de', 'siguranté', 'Barcanesti', 'Prahova', 'Prahova']",[]
313,67.Chiojdeanca-proces%20verbal%20nr.1450%20din%2031.07.2018.pdf,67.Chiojdeanca-proces%20verbal%20nr.1450%20din%2031.07.2018.txt,31.07.2018,Chiojdeanca,"['ROMANIA', 'Chiojdeanca\n\nfn', 'Prahova\n\n>', 'Chiojdeanca', 'judetul Prahova', 'Tarna', 'DC 51', 'DC 51', 'DC 51 Chiojdeanca-Trenu', 'Trenu', 'DC 51', 'Trenu', 'DJ 234', 'Nucet', 'DJ 234', 'Nucet', 'punctul Fatu', 'DJ 234', 'Nucet', 'DJ 234', 'Nucet si Nitu Adrian', 'Trenu', 'Chiojdeanca', 'Prahova', 'Prahova', 'erodari de', 'Prahova']",[]
314,671-01.04.2015.pdf,671-01.04.2015.txt,20.01.2015,Prahova,"['ROMANIA', 'Prahova', 'Surani', 'Surani', 'Prahova', 'erodari de', 'Prahova']",[]
315,6719%20din%2008.06.2016.pdf,6719%20din%2008.06.2016.txt,08.06.2016,.G.A. Prahova,"['ROMANIA', '.G.A. Prahova', 'Busteni', 'judetul Prahova', 'raului Prahova in', 'strada Garii si strada Prahovei', 'strada Zamora', 'Mentiondam', 'strada Garii', 'nr.9', 'Prahova', 'Prahova', 'erodari de']",[]
316,6773%20din%2014.12.2015.pdf,6773%20din%2014.12.2015.txt,14.12.2015,Judetul Prahova nr. 8,"['ROMANIA', 'Judetul Prahova nr. 8', 'DJ 101T', 'zona km 11+800', 'Iungime', 'erodataé', 'malul sténg', 'Prahova', 'Prahova', 'erodari de', 'DJ 101T, in punctele mentionate', '.G.A. Prahova', 'Prahova']",[]
317,68.Gornet%20-proces%20verbal%20nr.3404%20din%2022.08.2018.pdf,68.Gornet%20-proces%20verbal%20nr.3404%20din%2022.08.2018.txt,22.08.2018,Gornet,"['ROMANIA', 'Gornet', 'Prahova', 'fagase', 'Bogdanesti', 'Cuib-Bogdanesti', 'fagase', 'Sud Muntenia © LJ-C. Prahova', 'Prahova', 'erodari de', 'Latcol.', 'Judetului Prahova\n\nifehe\n\nG\n\n', 'Prahova']",[]
318,6818%20din%2030.05.2017.pdf,6818%20din%2030.05.2017.txt,20.01.2015,Brebu,"['ROMANIA', 'Brebu\n\n', 'Pietriceaua', 'DC 5', 'Nhe\n\na']",[]
319,6863%20din%2023.11.2017.pdf,6863%20din%2023.11.2017.txt,23.11.2017,TELEGA,"['ROMANIA', 'TELEGA', 'Telega', 'Telega', 'judetul Prahova', 'Telega', 'Telega', 'Telega', 'Telega', 'Prahova', 'Prahova', 'erodari de', 'Telega', 'Telega', 'Telega']",[]
320,6866%20din%2016.05.2016.pdf,6866%20din%2016.05.2016.txt,20.01.2015,Banesti,"['ROMANIA', 'Banesti', 'Prahova', 'Banesti', 'judetul Prahova', 'Banesti', 'str. Aurel Vlaicu nr. 932', 'Banesti', 'Urleta', 'Bé&nesti', 'Banesti', 'Soseaua Nationala nr. 92', 'Prahova', 'erodari de']",[]
321,69.Breaza-proces%20verbal%20nr.12480%20din%2025.08.2018.pdf,69.Breaza-proces%20verbal%20nr.12480%20din%2025.08.2018.txt,25.08.2018,orasului Breaza,"['ROMANIA', 'orasului Breaza\n\nUrmare', 'Prahova', 'Prahova', 'Strada Drum Nou', 'Podu de Fier', 'Strada Dorobanti', 'balastata', 'fagase', 'Jatime', 'Strada Sulfinelor', 'fagase', 'Strada Muncii, pet .,Cojocaru”', 'Strada 23 August', 'Strada Mierlei', 'Strada Margaretelor', 'Strada Murelor', 'Strada Marasesti', 'Strada Plopilor', 'Strada Pajistei', 'Strada Livezi', 'Jatime', 'Strada Busuiocului', 'Strada Caprioarelor', 'Strada Carpati', 'Strada Oradiei', 'Strada Frunzelor, pet', 'Bertescu', 'Strada Frunzelor in zona nr 1', 'Valea Oradiei', 'Strada Prundului', 'Judetul Prahova', 'Judetul Prahova', 'Prahova', 'erodari de', 'Jua', 'Prahova']",[]
322,6961%20din%2012.07.2016.pdf,6961%20din%2012.07.2016.txt,12.07.2016,orasului Comarnic,"['ROMANIA', 'orasului Comarnic\n\nfn urma', 'Prahova', 'Comarnic', 'judetul Prahova', 'orasului', 'strada Secariei', 'DJ 101 S', 'Str. Scolii, pet.', 'Zona cuprinsa', 'str. Garlici', 'str. Valea Candei', 'str. Valea Candei', 'Str. Poiana', 'Str. Poiana', 'cartierul Poiana', 'masclor de pamant', 'str. Poiana', 'Cartierul Ghiosesti', 'raului Prahova', 'versanti', 'DN1', 'Comarnic', 'Prahova', 'Prahova', 'erodari de', 'DJ 101 S', 'decolmatarca si', 'siguranté']",['Conduccrea orasului Comarnic\n']
323,7.Surani%20-proces%20verbal%20nr.%201247%20din%2030.06.2018.pdf,7.Surani%20-proces%20verbal%20nr.%201247%20din%2030.06.2018.txt,28.06.2018,Surani,"['ROMANIA', 'Surani\n\nfn urma', 'Prahova', 'Surani', 'Surani', '.Neagu Nicolae', 'Prahova', 'Prahova', 'erodari de', 'Surani']",[]
324,7020%20din%2008.06.2017.pdf,7020%20din%2008.06.2017.txt,08.06.2017,orasul Slanic,"['ROMANIA', 'orasul Slanic\n\nfn urma', 'Prahova', 'Slanic', 'judetul Prahova', 'DJ 100 N', 'Prahova', 'erodari de', 'urgentd', 'orasul Slanic']",[]
325,71.Telega-proces%20verbal%20nr.4576%20din%2023.08.2018.pdf,71.Telega-proces%20verbal%20nr.4576%20din%2023.08.2018.txt,23.08.2018,TELEGA,"['ROMANIA', 'TELEGA', 'Telega', 'Prahova', 'Telega', 'judetul Prahova', 'Telega', 'Telega', 'Melicesti', 'Telega', 'Telega', 'Prahova', 'erodari de', 'Prahova']",[]
326,710%20din%2007.02.2017.pdf,710%20din%2007.02.2017.txt,07.02.2017,Soimari,"['ROMANIA', 'Soimari', 'Prahova', 'Soimari', 'Soimari', 'Magura', 'DJ 100 M', 'Ploiesti', 'Soimari', 'colmatand', 'Soimari', 'Magura', 'DJ 100 M', 'Ploiesti', 'Soimari', 'colmatand', 'DJ 100M si a decolmatat rigola', 'Soimari', 'Soimari', 'DJ 100M dupa', 'DJ 100 M.\nCLSU Soimari', 'Soimari', 'Soimari', 'zona ""Strambu""', 'Lopatna', 'DJ 100M', 'Soimari', 'Soimari', 'DJ 100 M', 'Soimari', 'Soimari', 'DJ 100M', 'DJ 100 M', 'Judetul Prahova', 'Judetul Prahova', 'Prahova', 'erodari de', 'Soimari', 'Soimari', 'Mr', 'Vilcu-G¥eorghe', 'Prahova']",[]
327,7117%20%20din%2007.12.2017.pdf,7117%20%20din%2007.12.2017.txt,07.12.2017,TELEGA,"['ROMANIA', 'TELEGA', 'Telega', 'Telega', 'judetul Prahova', 'Telega', 'DC 133', 'DC', 'Bustenari', 'Telega', 'Prahova', 'Prahova', 'erodari de', 'DC 133', 'Telega', 'Telega si Primaria\n\ncomunei Telega']",[]
328,7178%20din%2002.09.2016.pdf,7178%20din%2002.09.2016.txt,02.09.2016,Prahova,"['ROMANIA', 'Prahova', 'Judetul Prahova nr. 8', 'Prahova', 'Podenii Noi', 'DJ 102 M, zona km 10+700', 'Popesti', 'scrisd', 'Judetul Prahova', 'Judetul Prahova', '.G.A. Prahova', 'erodari de', 'Podenii Noi', 'DJ 102 M, si', 'DJ 102 M,\nin zona afectata', 'Prahova']",[]
329,718%20din%2008.06.2016.pdf,718%20din%2008.06.2016.txt,20.01.2015,Ploiesti,"['ROMANIA', 'Ploiesti', 'Prahova', 'Ploiesti', 'judetul Prahova', 'Ploiesti', 'cartierul Mimiu', 'strada Fierarilor, nr.56, proprietar Tarida Marius, locuinta\ncompusa din', 'cartierul Mimiu', 'strada Palanca, nr.29, nr.31', 'fagase', 'strazilor', 'Prahova', 'erodari de', 'Prahova']",[]
330,"72,Maneciu-proces%20verbal%20nr.12844%20din%2014.09.2018.pdf","72,Maneciu-proces%20verbal%20nr.12844%20din%2014.09.2018.txt",14.09.2018,Maneciu,"['ROMANIA', 'Maneciu', 'Maneciu', 'judetul Prahova', 'Maneciu Ungureni', 'Cursaresti', 'Prahova', 'erodari de']",[]
331,7218-29.04.2015.pdf,7218-29.04.2015.txt,29.04.2015,Judetul Prahova nr. 8,"['ROMANIA', 'Judetul Prahova nr. 8', 'Prahova', 'str. Valea Nucetului', 'V 2706/6', 'Versantul', 'Nucet', 'Judetul Prahova', 'Judetul\nPrahova', 'Prahova', 'Prahova', 'erodari de', 'Prahova', 'Sing']",[]
332,7249%20din%2009.12.2015.pdf,7249%20din%2009.12.2015.txt,20.01.2015,Prahova,"['ROMANIA', 'Prahova', 'Rifov', 'Teleajen si', 'paraul Rece', 'Priia', 'Buchilasi', 'DJ 101 D', 'Antofiloaia', 'Antofiloaia', 'DC 83 Sicrita — Zanoaga', 'Ploiesti', 'raului Teleajen si evolutia in', 'Rifov', 'Prahova', 'erodari de', 'paraul Priia', 'Rifov', 'Rifov', 'Prahova']",[]
333,7272%20din%2010.06.2016.pdf,7272%20din%2010.06.2016.txt,10.06.2016,Cornu,"['ROMANIA', 'Cornu\n\nin urma', 'Ciuc', 'Cornu', 'judetul Prahova', 'Cornu', 'strada Pomilor nr. 544', 'Sing']",[]
334,"73,Maneciu-proces%20verbal%20nr.15429%20din%2031.10.2018.pdf","73,Maneciu-proces%20verbal%20nr.15429%20din%2031.10.2018.txt",09.10.2018,Maneciu,"['ROMANIA', 'Maneciu', 'Maneciu', 'judetul Prahova', 'Maneciu Ungureni', 'imediata vecinatate', 'Prahova', 'Prahova', 'erodari de']",[]
