,pdfFile,txtFile,eventDate,eventPlace,locList,geoEvents
231,4159%20din%2019.07.2017.pdf,4159%20din%2019.07.2017.txt,19.07.2017,TELEGA,"['ROMANIA', 'TELEGA', 'Telega', 'Telega', 'judetul Prahova', 'Telega', 'Telega', 'feava', 'Telega', 'str. Zapodie', 'Bustenari', 'str. Macesari', 'Telega', 'Prahova', 'Prahova', 'erodari de', 'Telega', 'Telega', 'Ofelia', 'Telega', 'str. Zapodie', 'Telega', 'str. Macesari', 'Telega', 'ROMANIA', 'TELEGA', 'Telega', 'Telega', 'judetul Prahova', 'Telega', 'Telega', 'Telega', 'Telega', 'Prahova', 'Prahova', 'erodari de', 'Telega', 'Telega', 'Telega']",[]
232,4186%20din%2006.07.2017.pdf,4186%20din%2006.07.2017.txt,06.07.2017,Judetul Prahova nr. 8,"['ROMANIA', 'Judetul Prahova nr. 8', 'Prahova', 'Sotrile', 'judetul Prahova', 'DJ 207:\n\n> la km 2+500', 'adiacenté podefului', 'Nistoresti', 'Ziduhii', 'Prahova', 'erodari de', 'DJ207', 'DJ207', 'DJ207']",[]
233,42.Cerasu%20-proces%20verbal%20nr.%203780%20din%2030.07.2018.pdf,42.Cerasu%20-proces%20verbal%20nr.%203780%20din%2030.07.2018.txt,31.07.2018,Cerasu,"['ROMANIA', 'Cerasu', 'Prahova', 'Cerasu', 'judetul Prahova', 'Valea Slonului', 'Valea Tocii', 'Valea\nBorului', 'DC 30 si Valea Lespezii', 'Zona Slon', 'paraul Drajna\n1', 'DC 30', 'Punctul Rughinis', 'malul stang al paraului', 'Punctul Cojocaru', 'paraul Drajna', 'DC 30 distanta', 'DC 30', 'Drajna', 'Zona Valea Borului\n1', 'malul stang al paraului Valea Borului', 'Valea Borului', 'Zona Valea Lespezii', 'Valea Lespezii', 'Drajna', 'Drajna cu paraul Valea Lespezii', 'versantul din proximitatea malului', 'Valea Lespezii', 'Smaranda', 'Zona Valea Tocii', 'paraului Drajna', 'Prahova', 'Prahova', 'erodari de\n', 'Prahova']",[]
234,4267%20din%2016.06.2016.pdf,4267%20din%2016.06.2016.txt,16.06.2016,Alunis,"['ROMANIA', 'Alunis', 'Prahova', 'Alunis', 'Bigiu', 'paraul Alunis', 'Alunis', 'Varbildu', 'Slanic', 'Prahova', 'erodari de', 'Prahova', 'Alunis']",[]
235,4377%20din%2011.05.2016.pdf,4377%20din%2011.05.2016.txt,10.05.2016,TELEGA,"['ROMANIA', 'TELEGA', 'Telega', 'Prahova', 'Telega', 'judetul Prahova', 'DJ100E', 'zona km 8+950', 'paraului Telega', 'Sarata', 'DJIOOE', 'zona km 10+150', 'paraului Telega', 'Sarata', 'DJ100E', 'zona km 11+800)', 'versantul de', 'Jungime', 'Telega', 'Sarata', 'zona km 11+830', 'Brezeni', 'paraul Telega', 'Sarata', 'zona km 12+800', 'DJIOOE', 'Telega', 'Varari', 'fagase', 'Corcomana si Ungureni', 'DJ100E', 'paraului Telega', 'Sirata', 'Stoieni', 'Poiana Lung', 'zona pietruita', 'Firiceni', 'Sarata', 'Stoieni', 'Telega', 'Melicesti', 'versanti', 'Melicesti', 'versanti', 'Centru - Plai', 'Telega', 'Telega nr. 737A', 'Calcea', 'Telega', 'Telega nr. 790C', 'Telega', 'Telega nr. 311', 'Telega', 'Telega nr. 970', 'locuinté', 'Prahova', 'erodari de', 'DJ100€', 'Telega', 'Judetul Prahova', 'Telega', 'Prahova', 'Telega']",[]
236,4378%20din%2011.05.2016.pdf,4378%20din%2011.05.2016.txt,11.05.2016,TELEGA,"['ROMANIA', 'TELEGA', 'Telega', 'Prahova', 'Telega', 'judetul Prahova', 'Telega', 'Telega', 'Telega', 'Telega nr. 612Bis', 'Telega', 'Telega nr. 598', 'Telega', 'Telega nr. 546A', 'Telega', 'Telega nr. 547', 'distrug4nd', 'Prahova', 'erodari de', 'Prahova', 'Foal Oo\n\n']",[]
237,44.Posesti%20-proces%20verbal%20nr.%204290%20din%2025.08.2018.pdf,44.Posesti%20-proces%20verbal%20nr.%204290%20din%2025.08.2018.txt,20.01.2015,Prahova,"['ROMANIA', 'Prahova', 'Nucsoara de Jos', 'Nucsoara de Sus', 'Draganesti', 'Borgari', 'Judetul Prahova', 'Judetul Prahova', 'Prahova', 'erodari de', 'Prahova']",[]
238,449%20din%2015.02.2017.pdf,449%20din%2015.02.2017.txt,15.02.2017,Gornet,"['ROMANIA', 'Gornet', 'str. Principala', 'judetul Prahova', 'Gornet', 'str. Principala', 'nr. 707A', 'IL.R.C. Sud Muntenia', 'Prahova', 'erodari de\n']",[]
239,45.Sotrile-proces%20verbal%20nr.%205087%20%20din%2025.08.2018.pdf,45.Sotrile-proces%20verbal%20nr.%205087%20%20din%2025.08.2018.txt,20.01.2015,Prahova,"['ROMANIA', 'Prahova', 'Vistieru', 'DJ 207 Nistoresti', 'Prahova', 'Prahova', 'erodari de', 'DJ207', 'DJ207', 'DJ207', 'DJ207', 'Prahova']",[]
240,4570%20din%2019.05.2016.pdf,4570%20din%2019.05.2016.txt,19.05.2016,TELEGA,"['ROMANIA', 'TELEGA', 'Telega', 'nr. 8358/IVE/2/CT', 'Prahova', 'Telega', 'Telega', 'Telega nr. 613A', 'Telega', 'Telega', 'locuinfa', 'si\nJocuinta', 'Telega', 'Telega', 'DC11C', 'DC1IC', 'DC11C', 'Brasov', 'DC1IC', 'Telega', 'Telega', 'Telega', 'Telega', 'strada\nPoiana Lunga', 'Telega', 'Prahova', 'erodari de', 'DC11C', 'Judetul Prahova', 'Telega', 'Prahova']",[]
